molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL181378,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)[C@H]2CCC[C@@H]2C(=O)NCc2ccccc2)cc1,intermediate,491.6130000000003,3.3499000000000017,3.0,4.0,5.301029995663981
CHEMBL182838,CN(Cc1ccc(-c2ccccc2S(N)(=O)=O)cc1)C(=O)[C@H]1CCC[C@@H]1C(=O)NCc1ccccc1,inactive,505.6400000000002,3.6921000000000026,2.0,4.0,5.0
CHEMBL362472,COc1ccc(CNC(=O)[C@H]2CCC[C@@H]2C(=O)NCc2ccc(-c3ccccc3S(N)(=O)=O)cc2)cc1,intermediate,521.6390000000002,3.358500000000001,3.0,5.0,5.301029995663981
CHEMBL439847,COc1ccc(CNC(=O)[C@H]2CCC[C@@H]2C(=O)N(C)Cc2ccc(-c3ccccc3S(N)(=O)=O)cc2)cc1,inactive,535.6660000000003,3.700700000000002,2.0,5.0,5.0
CHEMBL368445,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)[C@H]2CCC[C@@H]2C(=O)NCc2ccc([N+](=O)[O-])cc2)cc1,intermediate,536.6100000000004,3.2581000000000016,3.0,6.0,5.552841968657781
CHEMBL180542,CN(Cc1ccc(-c2ccccc2S(N)(=O)=O)cc1)C(=O)[C@H]1CCC[C@@H]1C(=O)NCc1ccc(C(F)(F)F)cc1,intermediate,573.6370000000004,4.710900000000003,2.0,4.0,5.6020599913279625
CHEMBL360722,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)[C@H]2CCC[C@@H]2C(=O)NCc2ccc(OC(F)(F)F)cc2)cc1,active,575.6090000000004,4.248500000000004,3.0,5.0,6.522878745280337
CHEMBL424983,CN(Cc1ccc(-c2ccccc2S(N)(=O)=O)cc1)C(=O)[C@H]1CCC[C@@H]1C(=O)NCc1ccc(OC(F)(F)F)cc1,active,589.6360000000004,4.590700000000004,2.0,5.0,6.080921907623926
CHEMBL182428,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)[C@H]2CCC[C@@H]2C(=O)NCc2cccc(OC(F)(F)F)c2)cc1,intermediate,575.6090000000004,4.248500000000003,3.0,5.0,5.958607314841775
CHEMBL361385,CN(Cc1ccc(-c2ccccc2S(N)(=O)=O)cc1)C(=O)[C@H]1CCC[C@@H]1C(=O)NCc1cccc(OC(F)(F)F)c1,intermediate,589.6360000000004,4.590700000000004,2.0,5.0,5.886056647693163
CHEMBL361097,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)CCC(=O)NCc2ccc(-c3cccs3)s2)cc1,active,539.7040000000003,4.503800000000004,3.0,6.0,6.823908740944319
CHEMBL180458,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)/C=C\C(=O)NCc2ccc(-c3cccs3)s2)cc1,active,537.6880000000002,4.2798000000000025,3.0,6.0,6.2839966563652006
CHEMBL183432,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)CC(=O)NCc2ccc(-c3cccs3)s2)cc1,active,525.6770000000002,4.113700000000003,3.0,6.0,6.0655015487564325
